Setup title,MFCV-High(1)
Classic test name,"C-V Sweep"
Test date,2022/10/14
Test time,20:10:42
Device ID,#1-2
Count,2
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-5
Measurement.Primary.Stop,10
Measurement.Primary.Step,0.2
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,243462.6,279314.2,320445.3,367633.2,421769.8,483878.5,555133.1,636880.4,730665.7,838261.5,961701.6,1103319,1265791,1452188,1666033,1911368,2192831,2515741,2886202,3311217
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,PLC
Measurement.Adc.HighResolution.Coeff,25,10
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,1
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Function.User.Name,Cox
Function.User.Unit,F
Function.User.Definition,max(C)/min(C)
Function.Analysis.Name,Cmax
Function.Analysis.Unit,F
Function.Analysis.Definition,max(C)
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-3
Output.Graph.XAxis.Right,3
Output.Graph.XAxis.RunTimeAutoScale,false
Output.Graph.YAxis.Data,C,G
Output.Graph.YAxis.Scale,Linear,Linear
Output.Graph.YAxis.Bottom,0,-0.001
Output.Graph.YAxis.Top,1,0.001
Output.Graph.YAxis.Group,,
Output.Graph.YAxis.RunTimeAutoScale,false,false
Output.List.Data,VBias,C,Cmax,G,Freq
Output.Scalar.Data,VBias,C,Cmax,Cox,G,Freq
AutoAnalysis.Interpolation,false
AutoAnalysis.Var2StepCount,1
AutoAnalysis.Var2StepScript,
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C,G,Cmax,Freq,Cox
-5,1.20706E-10,2.14954E-06,1.35672E-10,243462.6,1.12398720858947
-4.8,1.20753E-10,2.15192E-06,1.35904E-10,243462.6,1.12340566232693
-4.6,1.20785E-10,2.15176E-06,1.36207E-10,243462.6,1.12336596590487
-4.4,1.20813E-10,2.16075E-06,1.36605E-10,243462.6,1.12344257576381
-4.2,1.20847E-10,2.15264E-06,1.37122E-10,243462.6,1.12351798897146
-4,1.20867E-10,2.15396E-06,1.37802E-10,243462.6,1.12355684560694
-3.8,1.20895E-10,2.14357E-06,1.38696E-10,243462.6,1.12360861323093
-3.6,1.2092E-10,2.16299E-06,1.39875E-10,243462.6,1.12364740566985
-3.4,1.20946E-10,2.16051E-06,1.41433E-10,243462.6,1.12374164739907
-3.2,1.20965E-10,2.16498E-06,1.43503E-10,243462.6,1.12391820239503
-3,1.20983E-10,2.15873E-06,1.46245E-10,243462.6,1.12394134554789
-2.8,1.20994E-10,2.16432E-06,1.49943E-10,243462.6,1.12403577291843
-2.6,1.21018E-10,2.16184E-06,1.5496E-10,243462.6,1.12422644137641
-2.4,1.21037E-10,2.17855E-06,1.61897E-10,243462.6,1.12455805230438
-2.2,1.21052E-10,2.17067E-06,1.71604E-10,243462.6,1.12482957524908
-2,1.21069E-10,2.17119E-06,1.856E-10,243462.6,1.12529178161094
-1.8,1.21085E-10,2.17533E-06,2.06302E-10,243462.6,1.12563565333159
-1.6,1.21106E-10,2.1886E-06,2.38419E-10,243462.6,1.1256320552951
-1.4,1.21134E-10,2.19138E-06,2.90753E-10,243462.6,1.1232229502117
-1.2,1.2116E-10,2.20848E-06,3.80444E-10,243462.6,1.09976527178752
-1,1.21202E-10,2.23236E-06,,243462.6,
-0.8,1.2127E-10,2.25701E-06,,243462.6,
-0.6,1.21371E-10,2.26771E-06,,243462.6,
-0.4,1.21554E-10,2.31887E-06,,243462.6,
