Setup title,MFCV-Low(1)
Classic test name,"C-V Sweep"
Test date,2022/10/14
Test time,20:06:37
Device ID,#1-2
Count,2
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-5
Measurement.Primary.Stop,10
Measurement.Primary.Step,0.2
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,1000,1147.257,1316.199,1510.019,1732.38,1987.486,2280.157,2615.927,3001.141,3443.081,3950.1,4532.781,5199.118,5964.726,6843.075,7850.767,9006.849,10333.17,11854.81,13600.51
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,PLC
Measurement.Adc.HighResolution.Coeff,25,10
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,1
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Function.User.Name,Cox
Function.User.Unit,F
Function.User.Definition,max(C)/min(C)
Function.Analysis.Name,Cmax
Function.Analysis.Unit,F
Function.Analysis.Definition,max(C)
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-3
Output.Graph.XAxis.Right,3
Output.Graph.XAxis.RunTimeAutoScale,false
Output.Graph.YAxis.Data,C,G
Output.Graph.YAxis.Scale,Linear,Linear
Output.Graph.YAxis.Bottom,0,-0.001
Output.Graph.YAxis.Top,1,0.001
Output.Graph.YAxis.Group,,
Output.Graph.YAxis.RunTimeAutoScale,false,false
Output.List.Data,VBias,C,Cmax,G,Freq
Output.Scalar.Data,VBias,C,Cmax,Cox,G,Freq
AutoAnalysis.Interpolation,false
AutoAnalysis.Var2StepCount,1
AutoAnalysis.Var2StepScript,
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C,G,Cmax,Freq,Cox
-5,1.20152E-10,2.57149E-10,1.34914E-10,1000,1.12286104267927
-4.8,1.20214E-10,5.49204E-10,1.34926E-10,1000,1.12212039054573
-4.6,1.20245E-10,3.38795E-10,1.34932E-10,1000,1.12220762155059
-4.4,1.20303E-10,4.62169E-10,1.3493E-10,1000,1.12219098787405
-4.2,1.20313E-10,7.09328E-10,1.34933E-10,1000,1.12231861395527
-4,1.2035E-10,7.22635E-10,1.34915E-10,1000,1.12219689912164
-3.8,1.20366E-10,7.76873E-10,1.34923E-10,1000,1.12231011736913
-3.6,1.20395E-10,1.01767E-09,1.34909E-10,1000,1.12233369937772
-3.4,1.20421E-10,1.11542E-09,1.34922E-10,1000,1.12241383613267
-3.2,1.20465E-10,1.24555E-09,1.34919E-10,1000,1.12251027505533
-3,1.20502E-10,1.60476E-09,1.34914E-10,1000,1.12246867564105
-2.8,1.20569E-10,1.77026E-09,1.34933E-10,1000,1.12264543397231
-2.6,1.20612E-10,1.93595E-09,1.34915E-10,1000,1.12257973257449
-2.4,1.20656E-10,2.1988E-09,1.3491E-10,1000,1.12252878918991
-2.2,1.2072E-10,2.43304E-09,1.34914E-10,1000,1.12261811646058
-2,1.20818E-10,2.69926E-09,1.34927E-10,1000,1.12267023896692
-1.8,1.20891E-10,2.82978E-09,1.34906E-10,1000,1.12264496371746
-1.6,1.20986E-10,3.13256E-09,1.34913E-10,1000,1.12299291642042
-1.4,1.21105E-10,3.22275E-09,1.34911E-10,1000,1.12301365986032
-1.2,1.21171E-10,3.21221E-09,1.34894E-10,1000,1.12306846942853
-1,1.21312E-10,3.24478E-09,,1000,
-0.8,1.21442E-10,3.33734E-09,,1000,
-0.6,1.21568E-10,3.02122E-09,,1000,
-0.4,1.21792E-10,2.87218E-09,,1000,
-0.2,1.22081E-10,2.54074E-09,,1000,
0,1.22527E-10,2.12285E-09,,1000,
