Setup title,MFCV-Low(1)(1)
Classic test name,"C-V Sweep"
Test date,2022/10/14
Test time,20:08:45
Device ID,#1-2
Count,2
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-5
Measurement.Primary.Stop,10
Measurement.Primary.Step,0.2
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,15603.29,17900.99,20537.04,23561.26,27030.83,31011.31,35577.95,40817.07,46827.67,53723.39,61634.55,70710.68,81123.34,93069.34,106774.5,122497.8,140536.5,161231.5,184974,212212.7
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,PLC
Measurement.Adc.HighResolution.Coeff,25,10
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,1
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Function.User.Name,Cox
Function.User.Unit,F
Function.User.Definition,max(C)/min(C)
Function.Analysis.Name,Cmax
Function.Analysis.Unit,F
Function.Analysis.Definition,max(C)
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-3
Output.Graph.XAxis.Right,3
Output.Graph.XAxis.RunTimeAutoScale,false
Output.Graph.YAxis.Data,C,G
Output.Graph.YAxis.Scale,Linear,Linear
Output.Graph.YAxis.Bottom,0,-0.001
Output.Graph.YAxis.Top,1,0.001
Output.Graph.YAxis.Group,,
Output.Graph.YAxis.RunTimeAutoScale,false,false
Output.List.Data,VBias,C,Cmax,G,Freq
Output.Scalar.Data,VBias,C,Cmax,Cox,G,Freq
AutoAnalysis.Interpolation,false
AutoAnalysis.Var2StepCount,1
AutoAnalysis.Var2StepScript,
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C,G,Cmax,Freq,Cox
-5,1.20025E-10,1.16029E-08,1.34899E-10,15603.29,1.12392418246199
-4.8,1.20084E-10,1.17359E-08,1.34905E-10,15603.29,1.12355292745898
-4.6,1.20112E-10,1.17498E-08,1.34942E-10,15603.29,1.12371134020619
-4.4,1.20152E-10,1.25723E-08,1.34905E-10,15603.29,1.12337516342046
-4.2,1.20172E-10,1.1549E-08,1.34903E-10,15603.29,1.12344270486342
-4,1.20214E-10,1.29994E-08,1.34901E-10,15603.29,1.12330443905973
-3.8,1.20235E-10,1.25443E-08,1.34916E-10,15603.29,1.12345740694479
-3.6,1.20253E-10,1.34861E-08,1.34915E-10,15603.29,1.12343037004963
-3.4,1.20278E-10,1.38655E-08,1.34972E-10,15603.29,1.12367108735649
-3.2,1.203E-10,1.43364E-08,1.35027E-10,15603.29,1.12401668206678
-3,1.20318E-10,1.43205E-08,1.35142E-10,15603.29,1.12612702698198
-2.8,1.2033E-10,1.61126E-08,1.35015E-10,15603.29,1.12340244957731
-2.6,1.20351E-10,1.56436E-08,1.34997E-10,15603.29,1.12358923993741
-2.4,1.20366E-10,1.70523E-08,1.35021E-10,15603.29,1.1232561041554
-2.2,1.20416E-10,1.80377E-08,1.35049E-10,15603.29,1.1232647697311
-2,1.20433E-10,1.95298E-08,1.35105E-10,15603.29,1.12323539681748
-1.8,1.2047E-10,2.18722E-08,1.35162E-10,15603.29,1.12341974682703
-1.6,1.20494E-10,2.47213E-08,1.35241E-10,15603.29,1.12332009900826
-1.4,1.2055E-10,2.71273E-08,1.35354E-10,15603.29,1.12326970954357
-1.2,1.20605E-10,2.97757E-08,1.35492E-10,15603.29,1.12338012287436
-1,1.2068E-10,3.21915E-08,,15603.29,
-0.8,1.20786E-10,3.31113E-08,,15603.29,
-0.6,1.20912E-10,3.51238E-08,,15603.29,
-0.4,1.21115E-10,3.66653E-08,,15603.29,
