V,4X,4Y,5X,5Y,6X,6Y,7X,7Y,8X,8Y,9X,9Y
-15.0,7969424.088772282,6.384236073722577e-07,7592470.673223638,6.148469627186719e-07,7319179.4469508715,6.302006454328441e-07,7325462.003876682,6.30200013429104e-07,6879400.46214412,6.172639617196208e-07,6825998.728274729,6.205132053072711e-07
-14.8,7953717.696457755,6.396917310388443e-07,7567340.445520395,6.159202666954664e-07,7303473.054636344,6.312765017149142e-07,7306614.33309925,6.312756378333656e-07,6854270.234440877,6.183866521528686e-07,6807151.0574972965,6.215203693423833e-07
-14.6,7931728.747217418,6.409671703502769e-07,7539068.9393542465,6.169922264169695e-07,7284625.383858913,6.322997328032272e-07,7290907.940784723,6.32294607184974e-07,6844846.399052161,6.196605346292984e-07,6794585.943645675,6.229512378916132e-07
-14.4,7919163.633365796,6.420338654030791e-07,7523362.54703972,6.180408360133342e-07,7272060.270007291,6.336215053785902e-07,7262636.434618575,6.336299210116081e-07,6797727.22210858,6.208448507511754e-07,6760031.880553716,6.237434188983022e-07
-14.2,7903457.24105127,6.432804394520283e-07,7501373.597799382,6.190718369101475e-07,7256353.877692764,6.344604761667841e-07,7256353.877692764,6.344599665323774e-07,6797727.22210858,6.218971485934533e-07,6756890.60209081,6.250318745714769e-07
-14.0,7887750.8487367425,6.444666409486478e-07,7479384.648559045,6.201463681355931e-07,7240647.485378237,6.356229272700347e-07,7237506.206915332,6.356301869664049e-07,6769455.715942432,6.231415533125163e-07,6734901.652850473,6.262446334812452e-07
-13.8,7872044.456422215,6.456498851710695e-07,7457395.699318707,6.212200755933511e-07,7224941.09306371,6.368744779666061e-07,7209234.700749183,6.369067544614996e-07,6722336.538998852,6.242798518767175e-07,6697206.311295609,6.268933649042709e-07
-13.6,7856338.064107689,6.468101854896039e-07,7435406.75007837,6.221914068736638e-07,7212375.9792120885,6.376883443985382e-07,7199810.865360468,6.377077527206847e-07,6722336.538998852,6.253269509290846e-07,6694065.032832704,6.282584247912853e-07
-13.4,7843772.950256067,6.480146137942018e-07,7419700.357763843,6.233528285164278e-07,7196669.586897562,6.390956315549395e-07,7171539.359194319,6.391536748758685e-07,6675217.362055271,6.266020295024655e-07,6656369.691277839,6.289472535662567e-07
-13.2,7828066.55794154,6.491995009872572e-07,7394570.1300606,6.243585956556614e-07,7180963.194583035,6.399563753522985e-07,7165256.802268508,6.399989543040293e-07,6675217.362055271,6.276852175954427e-07,6653228.412814934,6.303661314904813e-07
-13.0,7812360.165627014,6.502944634722358e-07,7372581.180820262,6.253528441633451e-07,7165256.802268508,6.410194111455049e-07,7146409.131491076,6.410765146800535e-07,6653228.412814934,6.288754727698768e-07,6634380.742037501,6.315475376338622e-07
-12.8,7793512.494849581,6.514619586971069e-07,7347450.9531170195,6.2630339984023e-07,7149550.409953982,6.418264510540606e-07,7133844.017639454,6.418709463250955e-07,6643804.5774262175,6.298757337941694e-07,6624956.906648786,6.327724068367321e-07
-12.6,7784088.659460865,6.525960362416593e-07,7334885.839265398,6.274175468812375e-07,7140126.574565265,6.432226624117367e-07,7105572.511473306,6.433402660828167e-07,6590402.843556826,6.31114916379727e-07,6580979.008168111,6.332496578167855e-07
-12.4,7765240.988683433,6.537498467862528e-07,7309755.611562155,6.283688851322791e-07,7121278.903787833,6.439224981102038e-07,7105572.511473306,6.43988111149914e-07,6612391.792797164,6.321988286771522e-07,6596685.400482637,6.350938522120614e-07
-12.2,7752675.8748318115,6.549000709201038e-07,7290907.940784723,6.293885640953492e-07,7108713.789936212,6.449934879020277e-07,7083583.562232968,6.450886067141869e-07,6580979.008168111,6.333427978380301e-07,6571555.172779394,6.361064041127658e-07
-12.0,7740110.76098019,6.55984466617891e-07,7272060.270007291,6.303505073426446e-07,7096148.67608459,6.458836041373017e-07,7071018.448381348,6.459835372427301e-07,6562131.337390678,6.342543191222477e-07,6552707.502001962,6.368738817213223e-07
-11.8,7724404.3686656635,6.570675588310584e-07,7253212.599229858,6.313270368770711e-07,7080442.283770063,6.470043404962702e-07,7045888.220678104,6.471563984835776e-07,6527577.274298719,6.354269350380813e-07,6521294.717372908,6.377211480247384e-07
-11.6,7711839.254814042,6.582516938108043e-07,7234364.928452427,6.324748686768842e-07,7067877.169918442,6.481770870785368e-07,7036464.385289389,6.483288694165437e-07,6521294.717372908,6.367520834489433e-07,6515012.160447097,6.391517884939586e-07
-11.4,7696132.8624995155,6.593745297557628e-07,7212375.9792120885,6.334412905303221e-07,7052170.777603915,6.490515371512688e-07,7023899.271437767,6.491958805188127e-07,6511870.881984192,6.377798244395111e-07,6505588.325058381,6.403523991353641e-07
-11.2,7683567.748647894,6.60473888799004e-07,7196669.586897562,6.344642222819605e-07,7039605.663752293,6.501504260658174e-07,7005051.600660334,6.503294938428659e-07,6486740.654280949,6.389790051539763e-07,6486740.654280949,6.414264119001454e-07
-11.0,7671002.634796272,6.617699790781077e-07,7174680.637657224,6.355848911285872e-07,7023899.271437767,6.512357916441155e-07,6986203.929882903,6.514436556583462e-07,6464751.705040611,6.401378152852511e-07,6461610.426577706,6.424034348724306e-07
